"Grand Central Terminal, Park Avenue, New York is the world's",A,"largest railway station,highest railway station,longest railway station,None of the above,"
Entomology is the science that studies,B,"Behavior of human beings,Insects,The origin and history of technical and scientific terms,The formation of rocks,"
"Eritrea, which became the 182nd member of the UN in 1993, is in the continent of",B,"Asia,Africa,Europe,Australia,"
Garampani sanctuary is located at,B,"Junagarh, Gujarat,Diphu, Assam,Kohima, Nagaland,Gangtok, Sikkim,"
For which of the following disciplines is Nobel Prize awarded?,D,"Physics and Chemistry,Physiology or Medicine,Literature, Peace and Economics,All of the above,"
Hitler party which came into power in 1933 is known as,B,"Labour Party,Nazi Party,Ku-Klux-Klan,Democratic Party,"
FFC stands for,B,"Foreign Finance Corporation,Film Finance Corporation,Federation of Football Council,None of the above,"
Fastest shorthand writer was,A,"Dr. G. D. Bist,J.R.D. Tata,J.M. Tagore,Khudada Khan,"
Epsom (England) is the place associated with,A,"Horse racing,Polo,Shooting,Snooker,"
"First human heart transplant operation conducted by Dr. Christiaan Barnard on Louis Washkansky, was conducted in",A,"1967,1968,1958,1922,"
Galileo was an Italian astronomer who,D,"developed the telescope,discovered four satellites of Jupiter,discovered that the movement of pendulum produces a regular time measurement,All of the above,"
Habeas Corpus Act 1679,D,"states that no one was to be imprisoned without a writ or warrant stating the charge against him,provided facilities to a prisoner to obtain either speedy trial or release in bail,safeguarded the personal liberties of the people against arbitrary imprisonment by the king's orders,All of the above,"
Exposure to sunlight helps a person improve his health because,D,"the infrared light kills bacteria in the body,resistance power increases,the pigment cells in the skin get stimulated and produce a healthy tan,the ultraviolet rays convert skin oil into Vitamin D,"
Golf player Vijay Singh belongs to which country?,B,"USA,Fiji,India,UK,"
"Guarantee to an exporter that the importer of his goods will pay immediately for the goods ordered by him, is known as",A,"Letter of Credit (L/C),laissezfaire,inflation,None of the above,"
First Afghan War took place in,A,"1839,1843,1833,1848,"
Gulf cooperation council was originally formed by,A,"Bahrain, Kuwait, Oman, Qatar, Saudi Arabia and United Arab Emirates,Second World Nations,Third World Nations,Fourth World Nations,"
First China War was fought between,A,"China and Britain,China and France,China and Egypt,China and Greek,"
Dumping is,D,"selling of goods abroad at a price well below the production cost at the home market price,the process by which the supply of a manufacture's product remains low in the domestic market, which batches him better price,prohibited by regulations of GATT,All of the above,"
"For the Olympics and World Tournaments, the dimensions of basketball court are",B,"26 m x 14 m,28 m x 15 m,27 m x 16 m,28 m x 16 m,"
"Federation Cup, World Cup, Allywyn International Trophy and Challenge Cup are awarded to winners of",B,"Tennis,Volleyball,Basketball,Cricket,"
Each year World Red Cross and Red Crescent Day is celebrated on,A,"May 8,May 18,June 8,June 18,"
Famous sculptures depicting art of love built some time in 950 AD - 1050 AD are,A,"Khajuraho temples,Jama Masjid,Sun temple,Mahabalipuram temples,"
Gravity setting chambers are used in industries to remove,C,"SOx,NOx,suspended particulate matter,CO,"
Guwahati High Court is the judicature of,D,"Nagaland,Arunachal Pradesh,Assam,All of the above,"
Friction can be reduced by changing from,A,"sliding to rolling,rolling to sliding,potential energy to kinetic energy,dynamic to static,"
During eleventh Antarctic Expedition in Nov. 1991/March 1992 ____ was installed.,A,"SODAR (SOnic Detection And Ranging),Second Permanent Station 'Maitree',First permanent station 'Dakshin Gangotri',None of the above,"
"From the following, choose the set in which names of Secretary-Generals of the UNO are arranged in correct chronological order?",B,"U Thant, Kurt Waldheim, Dag Hammarskjoeld, Trygve Lie.,Trygve Lie, Dag Hammarskjoeld, U Thant, Kurt Waldheim.,Trygve Lie, U Thant , Dag Hammarskjoeld, Kurt Waldheim.,U Thant, Dag Hammarskjoeld, Trygve Lie, Kurt Waldheim.,"
Fire temple is the place of worship of which of the following religion?,C,"Taoism,Judaism,Zoroastrianism (Parsi Religion),Shintoism,"
Film and TV institute of India is located at,A,"Pune (Maharashtra),Rajkot (Gujarat),Pimpri (Maharashtra),Perambur (Tamilnadu),"
"Georgia, Uzbekistan and Turkmenistan became the members of UNO in",B,"1991,1992,1993,1994,"
Guru Gobind Singh was,D,"the 10th Guru of the Sikhs,founder of Khalsa, the inner council of the Sikhs in 1699,author of Dasam Granth,All the above,"
Hermann Scheer (Germany) received right Livelihood Award in 1999 for,A,"his indefatigable work for thepromotion of solar energy worldwide,his long standing efforts to end the impunity of dictators,showing that organic agriculture is a key to both environmental sustainability and food security,None of the above,"
Germany signed the Armistice Treaty on ____ and World War I ended,C,"January 19, 1918,May 30, 1918,November 11, 1918,February 15, 1918,"
"During World War II, when did Germany attack France?",A,"1940,1941,1942,1943,"
